"fullHour","team","score","team 2"
"2023/11/18 20:45","Pays-Bas","- : -","Irlande"
"2023/10/16 20:45","Gibraltar","- : -","Irlande"
"2023/10/13 20:45","Irlande","- : -","Grèce"
"2023/09/10 20:45","Irlande","- : -","Pays-Bas"
"2023/09/07 20:45","France","- : -","Irlande"
"2023/06/19 20:45","Irlande","- : -","Gibraltar"
"2023/06/16 20:45","Grèce","- : -","Irlande"
"2023/03/27 20:45","Irlande","0 : 1","France"
"2023/03/22 20:45","Irlande","3 : 2","Lettonie"
"2022/11/20 20:00","Malte","0 : 1","Irlande"
"2022/11/17 20:45","Irlande","1 : 2","Norvège"
"2022/09/27 20:45","Irlande","3 : 2","Arménie"
"2022/09/24 20:45","Ecosse","2 : 1","Irlande"
"2022/06/14 20:45","Ukraine","1 : 1","Irlande"
"2022/06/11 18:00","Irlande","3 : 0","Ecosse"
"2022/06/08 20:45","Irlande","0 : 1","Ukraine"
"2022/06/04 15:00","Arménie","1 : 0","Irlande"
"2022/03/29 20:45","Irlande","1 : 0","Lituanie"
"2022/03/26 18:00","Irlande","2 : 2","Belgique"
"2021/11/14 20:45","Luxembourg","0 : 3","Irlande"
"2021/11/11 20:45","Irlande","0 : 0","Portugal"
"2021/10/12 20:45","Irlande","4 : 0","Qatar"
"2021/10/09 18:00","Azerbaijan","0 : 3","Irlande"
"2021/09/07 20:45","Irlande","1 : 1","Serbie"
"2021/09/04 18:00","Irlande","1 : 1","Azerbaijan"
"2021/09/01 20:45","Portugal","2 : 1","Irlande"
"2021/06/08 20:00","Hongrie","0 : 0","Irlande"
"2021/06/03 18:00","Andorre","1 : 4","Irlande"
"2021/03/30 20:45","Qatar","1 : 1","Irlande"
"2021/03/27 20:45","Irlande","0 : 1","Luxembourg"
"2021/03/24 20:45","Serbie","3 : 2","Irlande"
"2020/11/18 20:45","Irlande","0 : 0","Bulgarie"
"2020/11/15 18:00","Pays de Galles","1 : 0","Irlande"
"2020/11/12 21:00","Angleterre","3 : 0","Irlande"
"2020/10/14 18:00","Finlande","1 : 0","Irlande"
"2020/10/11 15:00","Irlande","0 : 0","Pays de Galles"
"2020/10/08 20:45","Slovaquie","4 : 2","Irlande"
"2020/09/06 18:00","Irlande","0 : 1","Finlande"
"2020/09/03 20:45","Bulgarie","1 : 1","Irlande"
"2019/11/18 20:45","Irlande","1 : 1","Danemark"
"2019/11/14 20:45","Irlande","3 : 1","Nouvelle Zélande"
"2019/10/15 20:45","Suisse","2 : 0","Irlande"
"2019/10/12 15:00","Géorgie","0 : 0","Irlande"
"2019/09/10 20:45","Irlande","3 : 1","Bulgarie"
"2019/09/05 20:45","Irlande","1 : 1","Suisse"
"2019/06/10 20:45","Irlande","2 : 0","Gibraltar"
"2019/06/07 20:45","Danemark","1 : 1","Irlande"
"2019/03/26 20:45","Irlande","1 : 0","Géorgie"
"2019/03/23 18:00","Gibraltar","0 : 1","Irlande"
"2018/11/19 20:45","Danemark","0 : 0","Irlande"
